IdProductoBodega,IdProducto,producto_codigo,producto_nombre,IdUbicacion,ubicacion_codigo,IdProductoEstado,estado,Lote,lic_plate,filas_duplicadas,un_totales,primera_fecha,ultima_fecha
1330,266,WMS58,CEBOLLITAS PERLA DON LAZARO 6/890GR 31.8OZ,1025,1A1,1,BUEN ESTADO,18032025107,57000037,2,118.0,2025-06-07 23:52:03.210000,2025-06-07 23:52:03.210000
1196,240,WMS35,ACEITUNA MIGUELS NEGRA S/H 12/350 GR 12OZ,389,3C2,1,BUEN ESTADO,25155AG,FU04822,2,114.0,2025-12-12 11:20:45.517000,2025-12-12 11:20:45.517000
370,74,WMS161,GARBANZOS KILLIOS 12/800 GR 28OZ,1736,1A1,1,BUEN ESTADO,191,540006621,2,108.0,2025-09-26 11:42:24.297000,2025-09-26 11:42:24.297000
296,60,WMS149,ACEITUNA EXCELENCIA DOY PAC R PIMIENTO 16/180 GR 6OZ,484,2B1,1,BUEN ESTADO,25268AG,FU06832,2,103.0,2026-02-12 10:47:13.607000,2026-02-12 10:47:13.607000
460,92,WMS18,ESPARRAGOS VERDES MIGUELS VIDRIO 12/330GR 11.64OZ,881,1B5,1,BUEN ESTADO,DLF25335,D2000260,2,89.0,2025-08-02 08:11:02.153000,2025-08-02 08:11:02.153000
576,116,WMS200,MOTAS DE GUANABA MIGUELS 6/720 GR 25OZ,417,1C4,1,BUEN ESTADO,76.16325,0,2,85.0,2025-11-28 15:24:15,2025-11-28 15:24:15
36,8,WMS387,TOMATE DESHIDRATADO EN ACEITE KILLIOS-PREMIO 12/200GR,751,2D2,1,BUEN ESTADO,11042025105,FU08280,2,85.0,2026-03-30 07:38:57.300000,2026-03-30 07:38:57.300000
86,18,WMS108,MIEL LOS TILOS 24/730GR 25.8OZ,378,2D4,1,BUEN ESTADO,00226,FU05523,2,84.0,2026-01-13 09:45:09.863000,2026-01-13 09:45:09.863000
731,147,WMS23,SALSA MUY PICANTE MARIE SHARPS HABANERO 12/296ML 10OZ,167,3C4,1,BUEN ESTADO,N744,F7000111,2,84.0,2025-12-18 13:46:23.357000,2025-12-18 13:46:23.357000
1341,269,WMS60,MAIZ DULCE DE LA CIMA 24/425 GRS 15OZ,968,3A2,1,BUEN ESTADO,5420,0,2,84.0,2025-11-29 16:17:08.477000,2025-11-29 16:17:08.477000
1336,268,WMS6,PALMITOS MIGUELS ENTEROS 24/200GR 7OZ,163,3C3,1,BUEN ESTADO,18.11825,FU05998,2,81.0,2026-01-26 13:36:05.277000,2026-01-26 13:36:05.277000
1216,244,WMS384,GUINDA FRUTALIA C/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ,44,6B1,1,BUEN ESTADO,CC2601,FU07712,2,78.0,2026-03-12 06:27:39.663000,2026-03-12 06:27:39.663000
616,124,WMS208,TOMATE PELADO KILLIOS 12/800GR,430,2D2,1,BUEN ESTADO,PEF3 G257,FU07903,2,71.0,2026-03-18 09:09:30.817000,2026-03-18 09:09:30.817000
381,77,WMS164,GUINDA FRUTALIA MITADES BOLSA 5/2.4 KG,22,3B1,16,MAL ESTADO,BG2512,FU06688,2,70.0,2026-02-09 10:52:55.187000,2026-02-09 10:52:55.187000
1211,243,WMS383,GUINDA FRUTALIA S/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ,325,3C1,1,BUEN ESTADO,CS2601,FU08955,2,68.0,2026-04-23 11:33:03.230000,2026-04-23 11:33:03.230000
1511,303,WMS92,MELOCOTON MIGUELS MITADES 6/2650GR 93.5OZ GALON,1038,1A1,1,BUEN ESTADO,24201,FU09008,2,63.0,2026-04-24 08:05:16.747000,2026-04-24 08:05:16.747000
710,142,WMS225,ARVEJA KILLIOS 24/425GR,1456,MERMA,1,BUEN ESTADO,5503,D2001627,2,59.0,2026-01-29 10:10:40.060000,2026-01-29 10:10:40.060000
506,102,WMS189,ATUN LATA EN ACEITE COSTA BRAVA 32/170GR 6OZ,636,7B1,1,BUEN ESTADO,S71E2COYNA3UAD,FU07088,2,48.0,2026-02-19 09:36:22.390000,2026-02-19 09:36:22.390000
306,62,WMS150,ACEITUNA EXCELENCIA R.PIMIENTO 12/300 GR 10.5OZ,347,1A2,1,BUEN ESTADO,25154AG,FU07823,2,48.0,2026-03-13 10:24:22.583000,2026-03-13 10:24:22.583000
1406,282,WMS72,GUINDAS FRUTALIA SIN TALLO 24/454GR 16OZ,348,1B2,1,BUEN ESTADO,6S2501,FU07371,2,48.0,2026-02-26 08:17:56.923000,2026-02-26 08:17:56.923000
506,102,WMS189,ATUN LATA EN ACEITE COSTA BRAVA 32/170GR 6OZ,636,7B1,1,BUEN ESTADO,S71E2COYN A3UAD,FU06049,2,42.0,2026-01-27 09:45:14.110000,2026-01-27 09:45:14.110000
350,70,WMS158,GARBANZO DON LAZARO 24/400 GR 14OZ,1456,MERMA,1,BUEN ESTADO,258X,D3001000,2,40.0,2025-12-05 08:38:23.963000,2025-12-05 08:38:23.963000
76,16,WMS106,GUINDA KILLIOS 24/454GR 16OZ,383,3A1,1,BUEN ESTADO,6S2601,FU08964,2,36.0,2026-04-23 11:42:46.213000,2026-04-23 11:42:46.213000
1491,299,WMS89,CHAMPINONES KILLIOS 24/400GRMS 14.1OZ,690,2D4,1,BUEN ESTADO,890,FU06365,2,36.0,2026-02-04 10:58:42.257000,2026-02-04 10:58:42.257000
126,26,WMS115,MIEL LOS TILOS 24/500GR 17.6OZ,538,4D4,1,BUEN ESTADO,4025,0,2,32.0,2025-11-28 14:08:12,2025-11-28 14:08:37
926,186,WMS269,ELOTITOS TIERNOS KILLIOS 24/200 GRS.,495,2A4,1,BUEN ESTADO,MM,0,2,31.0,2025-11-28 16:51:21,2025-11-28 16:51:59
536,108,WMS194,PRODUCTO ESPECIAL EXTRA ESPESO DULCE DE LECHE DECORACION LA CONDESA BOLSA 6/5lbs,36,5B2,1,BUEN ESTADO,HP1532/L1,FU06064,2,30.0,2026-01-27 11:39:43.210000,2026-01-27 11:39:43.210000
531,107,WMS193,DULCE DE LECHE LA CONDESA MANGA 30/1lbs.,372,2B3,1,BUEN ESTADO,HP1506/L2,FU04941,2,30.0,2025-12-16 14:07:25.343000,2025-12-16 14:07:25.343000
1391,279,WMS7,COCTEL DE FRUTAS MIGUELS 12/820GR 29OZ,657,1C1,1,BUEN ESTADO,SYF25140,FU08695,2,30.0,2026-04-16 10:36:13.653000,2026-04-16 10:36:13.653000
1291,259,WMS50,ACEITE DE ORUJO DE OLIVA DON LAZARO 15/1 LT,835,2D3,1,BUEN ESTADO,26022E34,FU08764,2,30.0,2026-04-17 09:45:04.370000,2026-04-17 09:45:04.370000
346,70,WMS158,GARBANZO DON LAZARO 24/400 GR 14OZ,490,2D2,1,BUEN ESTADO,258X,FU07081,2,29.0,2026-02-19 09:19:30.087000,2026-02-19 09:19:30.087000
341,69,WMS157,GARBANZO KILLIOS 24/400 GR 14OZ,82,2B3,1,BUEN ESTADO,258X,FU07603,2,29.0,2026-03-06 13:22:21.897000,2026-03-06 13:22:21.897000
1216,244,WMS384,GUINDA FRUTALIA C/TALLO GALON CUBETA PLASTICA CAJA 4/4256GR 150OZ,293,1C3,1,BUEN ESTADO,CC2601,FU07067,2,26.0,2026-02-19 07:15:23.900000,2026-02-19 07:15:23.900000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,215,3C1,1,BUEN ESTADO,E2F8095,FU08246,2,24.0,2026-03-27 09:31:30.687000,2026-03-27 09:31:30.687000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,215,3C1,1,BUEN ESTADO,E2F8045,FU06375,2,24.0,2026-02-04 11:22:57.050000,2026-02-04 11:22:57.050000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,215,3C1,1,BUEN ESTADO,E2F8055,FU07039,2,24.0,2026-02-18 09:55:57.063000,2026-02-18 09:55:57.063000
1196,240,WMS35,ACEITUNA MIGUELS NEGRA S/H 12/350 GR 12OZ,389,3C2,1,BUEN ESTADO,23131AG,FU04627,2,24.0,2025-12-05 13:32:40.777000,2025-12-05 13:32:40.777000
1136,228,WMS32,ACEITUNAS MIGUELS RELLENAS DOY PACK 24/200GR 7OZ,472,1B3,1,BUEN ESTADO,01.24925,FU05369,2,24.0,2026-01-09 09:06:27.640000,2026-01-09 09:06:27.640000
1136,228,WMS32,ACEITUNAS MIGUELS RELLENAS DOY PACK 24/200GR 7OZ,472,1B3,1,BUEN ESTADO,01.24925,FU05370,2,24.0,2026-01-09 09:07:37.323000,2026-01-09 09:07:37.323000
1416,284,WMS74,GUINDAS FRUTALIA SIN TALLO 24/227GR 8OZ,288,1B2,1,BUEN ESTADO,8S2601,FU08217,2,24.0,2026-03-26 08:33:53.553000,2026-03-26 08:33:53.553000
1446,290,WMS80,ELOTITOS TIERNOS MIGUELS ENTEROS 24/200GR 7OZ,88,2D4,1,BUEN ESTADO,70.17625,0,2,24.0,2025-11-29 11:29:27,2025-11-29 11:29:27
1476,296,WMS86,ELOTITOS MIGUELS LOCOS 12/440GR,720,PICKING,1,BUEN ESTADO,70.07226,FU08180,2,24.0,2026-03-25 11:50:59.613000,2026-03-25 11:50:59.613000
1481,297,WMS87,CHAMPINONES KILLIOS 24/184GRMS 4.5OZ,676,2B1,1,BUEN ESTADO,698,FU06145,2,24.0,2026-01-28 13:11:46.833000,2026-01-28 13:11:46.833000
1481,297,WMS87,CHAMPINONES KILLIOS 24/184GRMS 4.5OZ,676,2B1,1,BUEN ESTADO,698,FU06190,2,24.0,2026-01-29 10:45:15.523000,2026-01-29 10:45:15.523000
1481,297,WMS87,CHAMPINONES KILLIOS 24/184GRMS 4.5OZ,676,2B1,1,BUEN ESTADO,698,FU08488,2,24.0,2026-04-10 09:22:13.707000,2026-04-10 09:22:13.707000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,748,2A2,1,BUEN ESTADO,E2F8055,F3000237,2,24.0,2025-12-09 08:22:47.853000,2025-12-09 08:22:47.853000
1316,264,WMS56,MAIZ DULCE MIGUELS 24/425GR 15OZ,748,2A2,1,BUEN ESTADO,E2F8045,FU05870,2,24.0,2026-01-22 11:24:33.460000,2026-01-22 11:24:33.460000
1356,272,WMS63,GUINDAS FRUTALIA CON TALLO 24/270GR 9.5OZ,488,2B2,1,BUEN ESTADO,9C2512,FU05049,2,24.0,2025-12-19 07:21:04.877000,2025-12-19 07:21:04.877000
1491,299,WMS89,CHAMPINONES KILLIOS 24/400GRMS 14.1OZ,690,2D4,1,BUEN ESTADO,707,FU07808,2,24.0,2026-03-13 10:06:44.490000,2026-03-13 10:06:44.490000
1486,298,WMS88,PACAYITAS MIGUELS 24/420GR 15OZ,747,2D1,1,BUEN ESTADO,1728424,0,2,24.0,2025-11-29 16:28:31.610000,2025-11-29 16:28:31.610000
1491,299,WMS89,CHAMPINONES KILLIOS 24/400GRMS 14.1OZ,677,2C1,1,BUEN ESTADO,366,0,2,24.0,2025-11-28 17:07:33,2025-11-28 17:07:33
1491,299,WMS89,CHAMPINONES KILLIOS 24/400GRMS 14.1OZ,682,2D2,1,BUEN ESTADO,707,FU07806,2,24.0,2026-03-13 10:05:15.737000,2026-03-13 10:05:15.737000
